"factor"	"Latitude"	"Longitude"	"times"
"home"	56.3419196226276	-2.79023859306213	49.2615956935318
"home"	56.3421296004643	-2.7903188288251	50.2798066104914
"home"	56.3421147849718	-2.79038319182871	51.2746918056873
"work"	56.3369405456477	-2.81618533720412	52.7412624267556
"home"	56.342082533932	-2.7902875305601	55.5702282612923
"home"	56.3420865329943	-2.79037819950701	58.487814688458
"work"	56.3365806820804	-2.81608533893905	64.4556573075825
"work"	56.3369246209818	-2.81616955589145	65.1206480632528
"home"	56.3420618461239	-2.79029792328417	65.1979245601638
"work"	56.3366261059853	-2.81613419920586	65.3425744729532
"work"	56.3366297701514	-2.81606529497392	66.2482515195968
"home"	56.3419527976351	-2.79044041418803	66.3579212338787
"home"	56.3418236142801	-2.79031243268746	66.3717840157473
"home"	56.3421662527585	-2.79016401562116	66.5233693966438
"home"	56.3418764403878	-2.79009475502573	69.1194368518441
"pub"	56.3384316326914	-2.80126798334716	69.2090259445194
"home"	56.342006654841	-2.79026708662236	71.2484599684169
"home"	56.3420110885044	-2.79012575455563	72.5745701890777
"pub"	56.3386173716704	-2.80127447433076	72.5838187475901
"pub"	56.3385186421582	-2.80134617264966	72.6076291613304
"pub"	56.3385150484305	-2.80150988042633	72.6106253377389
"home"	56.3420512157442	-2.79030239799193	72.6238541490202
"pub"	56.3384847113365	-2.80137128953641	74.3307591163093
"home"	56.3419770057484	-2.79022872543998	74.4287322619979
"work"	56.3367086456563	-2.81613855818043	76.0596661204219
"work"	56.3365900791924	-2.81619370241177	77.1500155001585
"work"	56.3368300970947	-2.816022792995	77.1906264363074
"home"	56.3420158326899	-2.79039200591464	79.6325756230807
"home"	56.341982546169	-2.79017487575743	81.1756587043194
"work"	56.3366628346078	-2.81604974232761	81.3198955940774
"work"	56.3369177757036	-2.81597676355831	83.8591493113864
"work"	56.3367004385629	-2.81605084530471	85.3753728482174
"work"	56.3367190931376	-2.81607656058373	85.9020194113687
"work"	56.3368494609374	-2.81595167770755	85.995515701838
"home"	56.342230763469	-2.79031105674977	86.2211283884703
"home"	56.3421103252137	-2.79017710598315	87.4963728216863
"work"	56.3367674281777	-2.81609347482649	87.5132141917271
"home"	56.341963092253	-2.7901347738779	87.5619124802844
"pub"	56.338581003693	-2.80123405316312	89.8565538343617
"home"	56.3420183506863	-2.79033058125674	89.8661469869589
"home"	56.342012779949	-2.79027587971088	90.3778150491423
"home"	56.3420666710164	-2.79033319673506	90.5362985352021
"work"	56.3368772365636	-2.81608538180151	90.5711197058774
"work"	56.3368036571235	-2.81606603672434	90.6084456141227
"home"	56.3420643325749	-2.79040615261357	90.7093138586313
"pub"	56.3385105353257	-2.80122967886856	92.6409729310803
"work"	56.3367845903727	-2.81606993967533	93.6185155650998
"work"	56.3366729630725	-2.81606289399988	95.503497614456
"home"	56.342006607993	-2.79040607918403	96.1759117802303
"work"	56.3367983327175	-2.81612519483782	96.2660970695708
"work"	56.3368220072867	-2.81599143673509	96.313531043552
"home"	56.3420703266364	-2.79027534599918	96.4370735550586
"home"	56.3419223823107	-2.7902855942606	96.4625222903803
"home"	56.3419977350148	-2.79026641218493	96.4662553425017
"home"	56.3420724574613	-2.79033723751579	96.5414951582749
"home"	56.3419247423277	-2.79032994989416	96.5630224481744
"pub"	56.3384102325972	-2.80105044866225	96.6355305504705
"work"	56.3367342965503	-2.8161287890611	96.6403374895238
"home"	56.3420692516999	-2.79035768979088	96.6603769001996
"home"	56.342094886684	-2.79025733181066	96.715832984568
"home"	56.3418172054875	-2.79038759203424	96.7271450903851
"pub"	56.3386954833684	-2.80121016701073	96.7668434970599
"work"	56.3367712882849	-2.81605039593878	96.7883261608209
"home"	56.3418837218899	-2.79022814594102	96.8888513725818
"work"	56.3367978767535	-2.8160479556019	97.0125441942116
"work"	56.3367223700427	-2.81609777370969	97.0354060872573
"home"	56.342012026299	-2.79041555775708	97.0488364498903
"home"	56.3420067635761	-2.79046380786654	97.0614211188662
"work"	56.3367441753612	-2.81594720013332	97.0643132599757
"pub"	56.3385093907997	-2.80122867301826	99.0036057885088
"work"	56.3368385149976	-2.81595206393664	99.1147474883618
"home"	56.3420742414119	-2.79033372658812	99.1778625643225
"home"	56.3420091253651	-2.79031158969587	99.3917437511884
"home"	56.3420697077291	-2.79030565279162	103.076024687289
"home"	56.341873171987	-2.79026043041028	103.860711583939
"home"	56.3420845488092	-2.79030800590225	107.728284406803
"work"	56.3366771994031	-2.81612066511671	107.998993592837
"home"	56.3422303658058	-2.79031189206028	108.126255298505
"home"	56.3420760259873	-2.79026171676249	108.150300310603
"home"	56.3420373420288	-2.7903308834656	109.351702391465
"pub"	56.3384302210712	-2.80133312699641	116.448533488833
"work"	56.3368078583269	-2.81595098869502	119.169114857094
"work"	56.3368836279914	-2.81615586312296	119.232682654575
"home"	56.3420480909504	-2.79028208927753	119.448337236891
"work"	56.3368608444486	-2.8162489795253	119.951394645392
"work"	56.336798950244	-2.81614552224819	120.185819795024
"home"	56.3421363999244	-2.79032149393879	120.211421164027
"work"	56.3367161675716	-2.81575132392067	120.487934944529
"pub"	56.3384307036261	-2.80115115137589	120.49450832037
"home"	56.3419648032284	-2.79043624219917	121.885803514726
"pub"	56.338557824174	-2.80125591659935	122.125433096435
"work"	56.3367129747209	-2.81605982216164	122.252286822857
"work"	56.3366894111966	-2.81610069066906	122.387687446313
"home"	56.3420731598959	-2.79037027449106	122.393390723192
"home"	56.3420284566972	-2.7903452226263	122.610949381011
"home"	56.3419788026125	-2.79022336841688	122.995270930234
"home"	56.3418708269857	-2.79032577239866	126.167114810254
"home"	56.3420486085048	-2.79037925336679	126.758507269922
"pub"	56.3386938539156	-2.8011211105909	128.184107949119
"home"	56.34202229717	-2.79021873014685	128.184484774718
"work"	56.3367088207968	-2.81625606777289	128.191696643355
"home"	56.3421046235285	-2.79028990916582	128.420046017986
"work"	56.3367891275659	-2.8159923986588	129.339277603807
"pub"	56.3386264670455	-2.80121369141292	129.377935007385
"work"	56.3366711142845	-2.81599124007194	129.442216400656
"work"	56.3366494001789	-2.81617656157684	129.662948539046
"home"	56.3420183705715	-2.7903074350991	130.641546126695
"work"	56.336679526778	-2.81605407673361	132.114874032746
"work"	56.3367449134361	-2.81606969303602	135.966479216918
"pub"	56.3385249333522	-2.80114577738041	136.405875944326
"home"	56.3419425415425	-2.79027752739098	141.5124608547
"home"	56.3420583956455	-2.79029305766784	142.090142217413
"home"	56.3420561170146	-2.79028522805572	143.953489561474
"home"	56.3418958733941	-2.79029060680384	144.016111705778
"home"	56.342075165815	-2.79029075952293	144.780519507082
"home"	56.3419741578443	-2.79018076378144	146.767276183451
"home"	56.3420245867443	-2.79038809146899	147.715950064653
"home"	56.3421833183217	-2.7903608477747	147.721629092917
"home"	56.3420574674165	-2.79033700160417	150.549526154554
"home"	56.3419816754605	-2.79037770176356	150.690975794476
"home"	56.3419377180362	-2.79027833239057	151.673941646018
"work"	56.3367318870458	-2.81619689181246	155.84763146604
"home"	56.3419256217639	-2.79024370814882	156.615733730813
"home"	56.3419985619376	-2.79033872199629	156.654072846299
"home"	56.3419762323062	-2.79024044551921	162.71886100486
"work"	56.3367795246984	-2.81593097706788	162.742867927438
"work"	56.3368762654096	-2.81601648326014	163.14502168096
"home"	56.3420319264755	-2.79030705112996	164.148234121467
"home"	56.3422638929055	-2.79031967074397	164.164522023952
"home"	56.3419646765723	-2.79038258159893	165.783256674781
"home"	56.3419195695481	-2.79021048829835	167.634169932262
"work"	56.3369439191359	-2.81610004782063	167.717296624757
"home"	56.3421000837025	-2.79032703178037	167.728770035458
"work"	56.3370389347244	-2.81601553068906	169.338817322644
"home"	56.34194854825	-2.79035494429377	169.394888440631
"home"	56.3420161005103	-2.79024475002028	169.452138995819
"home"	56.3419382684365	-2.79037249168657	169.771859016291
"home"	56.3421964436631	-2.79032461424052	169.899938766494
"work"	56.3368219301465	-2.81618220232632	170.331618833547
"work"	56.3368332771482	-2.81601474486044	170.33853427606
"home"	56.3419847386544	-2.79038821475964	170.57416598839
"pub"	56.3385086873414	-2.80133466092874	170.952860897855
"work"	56.3368260238526	-2.81601730352814	171.480592450649
"work"	56.3367104409589	-2.81608676646373	171.510427569882
"home"	56.3420332332305	-2.79029080260015	171.531718565959
"home"	56.3422146378936	-2.79007834040212	171.747972696646
"home"	56.3420989122315	-2.7902946262203	172.955451915557
"home"	56.3420956390449	-2.79018471070719	175.348209825319
"work"	56.3367839844983	-2.81609911768798	177.333924168829
"home"	56.3421152963693	-2.79032056816846	177.365708455279
"home"	56.3420770627657	-2.79023378200318	177.37366263407
"home"	56.3421869354827	-2.79035338827584	177.380984321387
"work"	56.3367724568207	-2.81608708915554	177.385076158731
"home"	56.3420257529067	-2.79027030468005	177.719354450931
"work"	56.3369068121813	-2.81628225373905	177.736961244429
"home"	56.3420223697783	-2.7903379781251	178.621261371542
"home"	56.3421672996675	-2.79042130256932	178.856028224471
"home"	56.3422007201624	-2.7901951022394	179.578130126206
"home"	56.3420041162515	-2.79008402580128	179.633179442442
"home"	56.3420374989682	-2.79052099813972	179.652838941112
"work"	56.3367741153159	-2.8159664581175	179.688136368259
"home"	56.3421450310262	-2.79039143612803	180.525206760943
"home"	56.342042015201	-2.79041327214584	181.304465017925
"home"	56.3421286245472	-2.79030573467203	181.321419844526
"work"	56.3366811597293	-2.8161040034088	181.463732939
"home"	56.3420117105591	-2.79027512028057	181.485198944333
"work"	56.3367462914863	-2.81590712455346	185.434575545863
"home"	56.341871919117	-2.79022001842977	188.202704313485
"home"	56.341936578828	-2.79046957750903	189.266734576811
"work"	56.3368852123643	-2.81606268862618	191.158478602787
"work"	56.3368097402859	-2.81601410584505	193.160711525329
"home"	56.3421536582335	-2.79036217381527	193.674389674294
"work"	56.3366562206426	-2.81599268658839	193.706427584873
"work"	56.336981603955	-2.81604927188524	195.085889972907
"home"	56.3418977427069	-2.79017576716037	195.366065399644
"home"	56.3420921252889	-2.79032744949716	196.32880824887
"home"	56.342222721157	-2.79029840748731	197.336266394206
"work"	56.336771824002	-2.81613872480497	197.368791519611
"pub"	56.3385799782513	-2.80125652145384	197.385722516227
"work"	56.3366746733169	-2.81601095065582	197.531391705041
"work"	56.3367064906785	-2.81605066474968	197.569943049157
